Client,Sample Percentage,Genus Frequency,,,,
Barkley,92.35%,68,,,,
BC177Hunt,78.41%,42,,,,
BC1825SGrantSt,79.03%,67,,,,
BC1NBrand,94.91%,19,,,,
BC5755thAve,90.56%,26,,,,
BCCivic,87.90%,39,,,,
BCDearborn,87.71%,28,,,,
BCEColorado,95.17%,34,,,,
BCExchange,80.55%,38,,,,
BCPBS,83.42%,35,,,,
BCState,87.01%,61,,,,
BCWabash,91.04%,21,,,,
BCWellsFargo,89.06%,42,,,,
Beckmann,94.92%,35,,,,
BedfordLIB(prop),93.88%,53,,,,
BeeGirl,83.63%,62,,,,
Boardman,91.76%,48,,,,
Bourdon,80.64%,72,,,,
Brazil,75.38%,42,,,,
Brooklyn Queen Honey,86.00%,41,,,,
Bullock,84.21%,25,,,,
Bush,82.60%,50,,,,
Cadigan,95.64%,30,,,,
CherryLF,89.41%,13,,,,
CIC,74.91%,39,,,,
Colliton,,,,,,
Corman,88.95%,27,,,,
Croucher 1,94.14%,12,,,,
Croucher 2,90.09%,27,,,,
Croucher 3,95.77%,5,,,,
D'Amore,86.64%,14,,,,
Dunn,93.43%,11,,,,
Erickson,86.88%,30,,,,
Gallagher,93.93%,46,,,,
Hastings,84.22%,33,,,,
HBSMcArthurLF,88.02%,57,,,,
Hodges,85.79%,60,,,,
Houghtailing,87.84%,7,,,,
Irish,87.37%,30,,,,
Jbrown,83.71%,50,,,,
Kerr,84.54%,45,,,,
Klemmer,88.91%,42,,,,
Kolchinsky,87.86%,17,,,,
Lebedis(fall dead hive),91.69%,49,,,,
Lebedis(winteralive hive),85.62%,57,,,,
Marianne,96.03%,24,,,,
Mariel,84.75%,61,,,,
Marinone,71.05%,83,,,,
Maynard,95.11%,36,,,,
MDavis(fall),84.90%,33,,,,
MDavis(summer),94.03%,13,,,,
Mettler,90.98%,47,,,,
Misciewicz2016,87.66%,17,,,,
Misiewicz2017,86.43%,65,,,,
Molter,83.43%,19,,,,
MOS,72.82%,35,,,,
Nicholas,94.81%,16,,,,
Nicholas2017,93.89%,42,,,,
Olocco,93.76%,38,,,,
PattuloLF,88.19%,33,,,,
Petipas,90.87%,23,,,,
Pierce,85.62%,40,,,,
R Cannon,75.23%,47,,,,
Redpath,87.48%,46,,,,
Reed Boston,86.23%,62,,,,
Reed Duxbury,90.98%,23,,,,
RobbisLib,86.25%,19,,,,
RombergLincRtFALL,73.88%,61,,,,
RombergLincSPRING,91.47%,27,,,,
RombergSubSPRING,89.70%,15,,,,
RombergSudFALL,71.88%,78,,,,
Ruzzo,92.33%,23,,,,
S011844,77.66%,51,,,,
Sager,77.18%,43,,,,
Schneider,79.34%,63,,,,
Schoenfeld,87.68%,64,,,,
Seigle,88.27%,42,,,,
SFBA,89.77%,34,,,,
Shabsheiowitz,89.05%,43,,,,
Sherwood,81.03%,51,,,,
Siarnacki,97.76%,39,,,,
Smith(seans's),79.23%,,,,,
Stein,84.72%,30,,,,
Sutherland,93.42%,32,,,,
Teall,96.02%,43,,,,
ValleyHive winner,98.96%,9,,,,
Wilson,82.58%,49,,,,
Woolford,89.11%,45,,,,
WrobleRt,84.72%,56,,,,
,,,,,,
