Sample ID,Location,Consensus Lineage Sum,Consensus Lineage Proportion,Consensus Lineage: 25 species (79.34%) > 1%; 141 species < 1% (20.17%),Common Name,Rank Scientific,Taxonomic Frequency,Interpretation
S005751.Schneider,"XXXXXX,XX",99.51%,15.38%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Fagaceae; f__; g__Quercus; ; s__,Oaks,Genus,2,2 occurrences of Oaks genus represent 15.38% of sample
,,,13.95%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Sapindales; o__Aceraceae; f__; g__Acer; ; s__,Maples,Genus,18,18 occurrences of the Maples genus represent 13.95% of the sample
,,,8.16%,d__Viridiplantae; k__Streptophyta; p__; c__Magnoliales; o__Magnoliaceae; f__; g__Magnolia; ; s__,Magnolias,Genus,2,2 occurrences of Magnolias genus represent 8.16% of the sample
,,,4.23%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Lamiales; o__Oleaceae; f__; g__Ligustrum; ; s__,Privets,Genus,1,
,,,4.19%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Malpighiales; o__Salicaceae; ; f__; g__; s__,Willow Family,Family,1,
,,,3.27%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Sapindales; o__Anacardiaceae; f__; g__Toxicodendron; ; s__,Poison Sumacs,Genus,4,
,,,3.12%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Celastrales; o__Celastraceae; ; f__; g__; s__,Bittersweet Family,Family,8,233
,,,2.90%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Rosales; o__Rosaceae; f__Maloideae; g__Prunus; ; s__,Chokecherries,Genus,5,
,,,2.26%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Vitales; o__Vitaceae; ; f__; g__; s__,Grape Family,Family,1,
,,,2.12%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; g__Trifolium; ; s__,Clovers,Genus,3,
,,,2.07%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Lamiales; o__Oleaceae; f__; g__Ligustrum; s__Ligustrum_vulgare;,Prim,Species,1,
,,,2.05%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Fagaceae; f__; g__Quercus; s__Quercus_ilicifolia;,Bear Oak,Species,1,
,,,1.94%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Juglandaceae; f__; g__Carya; s__Carya_illinoinensis;,Pecan,Species,1,
,,,1.80%,d__Viridiplantae; k__Streptophyta; p__; c__Magnoliales; o__Magnoliaceae; f__; g__Magnolia; s__Magnolia_officinalis;,Magnolia-bark,Species,1,
,,,1.64%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Malpighiales; o__Salicaceae; f__; g__Salix; s__Salix_caprea;,Pussy-willow,Species,1,
,,,1.60%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Cucurbitales; o__Begoniaceae; f__; g__Begonia; ; s__,Begonias,Genus,2,
,,,1.38%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; ; g__; s__,Peacock sub-family,Sub-family,2,
,,,1.37%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Aquifoliales; o__Aquifoliaceae; f__; g__Ilex; ; s__,Hollies,Genus,4,
,,,1.35%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Fagaceae; f__; g__Quercus; s__Quercus_polycarpa;,Quercus polycarpa,Species,1,
,,,1.23%,d__Viridiplantae; k__Streptophyta; p__; c__Nymphaeales; o__Nymphaeaceae; f__; g__Nuphar; s__Nuphar_polysepala;,Yellow pond lily,Species,1,
,,,1.14%,d__Viridiplantae; k__Streptophyta; p__Pinidae; c__Pinales; o__Pinaceae; f__; g__Tsuga; ; s__,Hemlocks,Genus,1,
,,,1.13%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; g__Trifolium; s__Trifolium_campestre;,Low hop clovers,Species,1,
,,,1.06%,d__Viridiplantae; k__Streptophyta; p__; c__Nymphaeales; o__Nymphaeaceae; f__; g__Nymphaea; ; s__,Water lilies,Genus,1,
,,,0.98%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Fagaceae; f__; g__Quercus; s__Quercus_pubescens;,,,1,
,,,0.97%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Lamiales; o__Oleaceae; ; f__; g__; s__,,,2,
,,,0.97%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Dipsacales; o__Caprifoliaceae; f__; g__Lonicera; ; s__,,,1,
,,,0.95%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Rosales; o__Rosaceae; f__Maloideae; ; g__; s__,,,5,
,,,0.86%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; g__Lotus; ; s__,,,1,
,,,0.79%,d__Viridiplantae; k__Streptophyta; p__; c__Asparagales; o__Xanthorrhoeaceae; f__Asphodeloideae; g__Hesperaloe; s__Hesperaloe_funifera;,,,1,
,,,0.77%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Sapindales; o__Anacardiaceae; f__; g__Toxicodendron; s__Toxicodendron_succedaneum;,,,3,
,,,0.55%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Lamiales; o__Plantaginaceae; f__; g__Plantago; ; s__,,,3,
,,,0.53%,d__Viridiplantae; k__Streptophyta; p__Pinidae; c__Pinales; o__Pinaceae; f__; g__Picea; s__Picea_likiangensis;,,,1,
,,,0.48%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; g__Lotus; s__Lotus_corniculatus;,,,2,
,,,0.46%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; g__Cercis; ; s__,,,1,
,,,0.45%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Fagaceae; f__; g__Quercus; s__Quercus_palustris;,,,1,
,,,0.45%,d__Viridiplantae; k__Streptophyta; p__; c__Magnoliales; o__Magnoliaceae; f__; g__Liriodendron; s__Liriodendron_chinense;,,,1,
,,,0.44%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; ; f__; g__; s__,,,3,
,,,0.44%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Sapindales; o__Aceraceae; f__; g__Acer; s__Acer_saccharum;,,,1,
,,,0.42%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Carduoideae; ; g__; s__,,,4,
,,,0.42%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Fagaceae; f__; g__Quercus; s__Quercus_alba;,,,1,
,,,0.41%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Cucurbitales; o__Begoniaceae; f__; g__Begonia; s__Begonia_herbacea;,,,1,
,,,0.37%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Celastrales; o__Celastraceae; f__; g__Celastrus; ; s__,,,1,
,,,0.34%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Vitales; o__Vitaceae; f__; g__Parthenocissus; s__Parthenocissus_chinensis;,,,1,
,,,0.31%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Vitales; o__Vitaceae; f__; g__Parthenocissus; s__Parthenocissus_quinquefolia;,,,1,
,,,0.30%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Malpighiales; o__Salicaceae; f__; g__Salix; ; s__,,,1,
,,,0.29%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Dipsacales; o__Adoxaceae; f__; g__Viburnum; s__Viburnum_cassinoides;,,,1,
,,,0.29%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Cornales; o__Cornaceae; f__; g__Nyssa; s__Nyssa_sinensis;,,,1,
,,,0.28%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Lamiales; o__Scrophulariaceae; f__; g__Buddleja; s__Buddleja_crispa;,,,1,
,,,0.27%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Sapindales; o__Rutaceae; ; f__; g__; s__,,,1,
,,,0.25%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Asteroideae; g__Ageratina; s__Ageratina_adenophora;,,,1,
,,,0.22%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Betulaceae; f__; g__Betula; ; s__,,,2,
,,,0.22%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Sapindales; o__Aceraceae; f__; g__Acer; s__Acer_stachyophyllum;,,,1,
,,,0.22%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Geraniales; o__Geraniaceae; f__; g__Pelargonium; ; s__,,,1,
,,,0.21%,d__Viridiplantae; k__Streptophyta; p__Pinidae; c__Pinales; o__Pinaceae; f__; g__Tsuga; s__Tsuga_sieboldii;,,,1,
,,,0.21%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Lamiales; o__Oleaceae; f__; g__Fraxinus; s__Fraxinus_excelsior;,,,1,
,,,0.19%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; g__Robinia; ; s__,,,1,
,,,0.18%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Fagaceae; ; f__; g__; s__,,,2,
,,,0.17%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Fagaceae; f__; g__Quercus; s__Quercus_castanea;,,,1,
,,,0.17%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Fagaceae; f__; g__Castanopsis; s__Castanopsis_carlesii;,,,1,
,,,0.16%,d__Viridiplantae; k__Streptophyta; p__asterids; c__Dipsacales; o__Caprifoliaceae; f__; g__Lonicera; s__Lonicera_xylosteum;,,,2,
,,,0.16%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Fagaceae; f__; g__Quercus; s__Quercus_sp__MES114;,,,1,
,,,0.16%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Celastrales; o__Celastraceae; f__; g__Siphonodon; s__Siphonodon_celastrineus;,,,1,
,,,0.16%,d__Viridiplantae; k__Streptophyta; p__rosids; c__Celastrales; o__Celastraceae; f__; g__Crossopetalum; s__Crossopetalum_gaumeri;,,,1,
