Title,State,HarvestYear,HarvestDate,Weight,HiveID
1050 Winter,MA,2018,10/16/2018,14.7,484
1050 Winter,MA,2018,07/31/2018,24.08,484
135 Santilli Highway,MA,2018,07/19/2018,20.16,1696
2 frames,MA,2018,03/23/2018,7.5,1975
Alfano,MA,2018,10/10/2018,31.5,2176
Autum’s Ambrosia,MA,2018,10/22/2018,15,2262
Autum’s Ambrosia,MA,2018,11/01/2018,18,2326
Autum’s Ambrosia,MA,2018,10/04/2018,10.5,2343
Autumn's Ambrosia,MA,2018,10/31/2018,7.5,2319
Autumn’s Ambrosia,CT,2018,09/27/2018,13.5,1879
Autumn’s Ambrosia,MA,2018,10/19/2018,24,28
Autumn’s Ambrosia,MA,2018,10/01/2018,33,33
Autumn’s Ambrosia,MA,2018,10/24/2018,24,41
Autumn’s Ambrosia,MA,2018,10/24/2018,21,42
Autumn’s Ambrosia,MA,2018,10/03/2018,27.75,47
Autumn’s Ambrosia,MA,2018,10/03/2018,18.75,48
Autumn’s Ambrosia,MA,2018,10/03/2018,9,49
Autumn’s Ambrosia,MA,2018,10/29/2018,3.75,57
Autumn’s Ambrosia,MA,2018,10/29/2018,4.5,77
Autumn’s Ambrosia,MA,2018,10/25/2018,18,83
Autumn’s Ambrosia,MA,2018,10/22/2018,19.5,105
Autumn’s Ambrosia,MA,2018,10/16/2018,22.5,111
Autumn’s Ambrosia,MA,2018,11/12/2018,9,112
Autumn’s Ambrosia,MA,2018,10/16/2018,10.5,113
Autumn’s Ambrosia,MA,2018,10/31/2018,24,119
Autumn’s Ambrosia,MA,2018,10/01/2018,28.5,141
Autumn’s Ambrosia,MA,2018,09/26/2018,17.25,181
Autumn’s Ambrosia,MA,2018,10/04/2018,12,193
Autumn’s Ambrosia,MA,2018,09/26/2018,7.5,207
Autumn’s Ambrosia,MA,2018,09/26/2018,7.5,210
Autumn’s Ambrosia,MA,2018,09/26/2018,15,211
Autumn’s Ambrosia,MA,2018,09/26/2018,6,213
Autumn’s Ambrosia,MA,2018,10/22/2018,6,217
Autumn’s Ambrosia,MA,2018,10/04/2018,3.36,222
Autumn’s Ambrosia,MA,2018,10/02/2018,6.3,280
Autumn’s Ambrosia,MA,2018,10/02/2018,6.16,281
Autumn’s Ambrosia,MA,2018,10/26/2018,1.68,310
Autumn’s Ambrosia,MA,2018,11/01/2018,18,311
Autumn’s Ambrosia,MA,2018,10/31/2018,4.5,314
Autumn’s Ambrosia,MA,2018,09/26/2018,16.875,319
Autumn’s Ambrosia,MA,2018,10/22/2018,27,339
Autumn’s Ambrosia,MA,2018,10/30/2018,3,345
Autumn’s Ambrosia,MA,2018,11/01/2018,21,352
Autumn’s Ambrosia,MA,2018,10/03/2018,13.5,429
Autumn’s Ambrosia,MA,2018,10/04/2018,24,441
Autumn’s Ambrosia,MA,2018,10/01/2018,16.125,455
Autumn’s Ambrosia,MA,2018,10/16/2018,25.5,462
Autumn’s Ambrosia,MA,2018,10/17/2018,34.5,464
Autumn’s Ambrosia,MA,2018,10/30/2018,5.04,471
Autumn’s Ambrosia,MA,2018,10/16/2018,7.5,508
Autumn’s Ambrosia,MA,2018,10/31/2018,13.5,527
Autumn’s Ambrosia,MA,2018,09/26/2018,16.5,587
Autumn’s Ambrosia,MA,2018,09/26/2018,21.75,588
Autumn’s Ambrosia,MA,2018,09/27/2018,16.5,618
Autumn’s Ambrosia,MA,2018,10/19/2018,1.5,622
Autumn’s Ambrosia,MA,2018,10/04/2018,6,649
Autumn’s Ambrosia,MA,2018,10/22/2018,15,680
Autumn’s Ambrosia,MA,2018,09/27/2018,4.5,688
Autumn’s Ambrosia,MA,2018,10/17/2018,4.5,748
Autumn’s Ambrosia,MA,2018,09/27/2018,5.625,752
Autumn’s Ambrosia,MA,2018,10/17/2018,25.5,753
Autumn’s Ambrosia,MA,2018,11/05/2018,7.5,756
Autumn’s Ambrosia,MA,2018,11/01/2018,3,786
Autumn’s Ambrosia,MA,2018,11/01/2018,19,790
Autumn’s Ambrosia,MA,2018,10/10/2018,3,818
Autumn’s Ambrosia,MA,2018,10/31/2018,21.84,824
Autumn’s Ambrosia,MA,2018,10/24/2018,21.375,843
Autumn’s Ambrosia,MA,2018,09/27/2018,10.5,858
Autumn’s Ambrosia,MA,2018,09/27/2018,24,859
Autumn’s Ambrosia,MA,2018,11/06/2018,6,863
Autumn’s Ambrosia,MA,2018,10/24/2018,3,864
Autumn’s Ambrosia,MA,2018,10/31/2018,19.5,989
Autumn’s Ambrosia,MA,2018,10/25/2018,12,991
Autumn’s Ambrosia,MA,2018,10/30/2018,4.5,992
Autumn’s Ambrosia,MA,2018,10/19/2018,12,1004
Autumn’s Ambrosia,MA,2018,10/16/2018,17.92,1036
