row,col,expected,actual,file
1,fHiveID,a number,_zkfHiveID,'csv_harvest_tog.csv'
1,fInvoiceID,a number,_zkfInvoiceID,'csv_harvest_tog.csv'
1,fRegionID,a number,_zkfRegionID,'csv_harvest_tog.csv'
1,fVisitID,a number,_zkfVisitID,'csv_harvest_tog.csv'
1,pHarvestID,a number,_zkpHarvestID,'csv_harvest_tog.csv'
1,BottleCount,a number,BottleCount,'csv_harvest_tog.csv'
1,BottleSize,a number,BottleSize,'csv_harvest_tog.csv'
1,Weight,a number,Weight,'csv_harvest_tog.csv'
1,duplicateClientID,an integer,CLI__Clients.tog::_zkfClientIDSelected_g,'csv_harvest_tog.csv'
1,inhouseHiveID,an integer,har.HAR_Harvests~Inhouse::_zkfHiveID,'csv_harvest_tog.csv'
1,HiveID,an integer,har.HIV_Hives::_zkpHiveID,'csv_harvest_tog.csv'
1,ClientID,a number,.,'csv_harvest_tog.csv'
